64bwyta64	bwytaont
65ennill65	enillon nhw
66plannu66	plannom
67eistedd67	eisteddon ni
68gwrthod68	gwrthodasant
69cysylltu69	cysylltwyd
70talu70	talu
71penderfynu71	penderfynych
72anfon72	anfonon nhw
73treisio73	treisi di
74mynd74	eler
75danfon75	danfonen nhw
76canu76	canon ni
77hofran77	hofranir
78casáu78	casasid
79dysgu79	dysgit
80syrthio80	syrthion nhw
81ymddwyn81	ymddygont
82dilyn82	dilyna
83caru83	carasai
84dilyn84	dilynon nhw
85ymlacio85	ymlaciwch
86ymarfer86	ymarferwch chi
87penderfynu87	penderfynasem
88croestorri88	croestorrodd o
89sylwi89	sylwech
90dilyn90	dilynon ni
91cynnull91	cynullen ni
92gwylio92	gwyliwn i
93dangos93	dangosasech
94cenhedlu94	cenhedlasem
95tacluso95	taclusai fo
96cloi96	cloent
97gallu97	galloch
98talu98	talant
99cusanu99	cusenaist
100ffili100	ffilwn ni
101gwrthod101	gwrthodwch
102cyfarfod102	cyfarfyddom
103cymryd103	cymer
104methu104	methen nhw
105gallu105	gallasoch
106terfynu106	terfynodd
107cyrraedd107	cyrhaeddwn
108cynnig108	cynigiwn
109hoelio109	hoelion ni
110cilio110	ciliwyf
111treisio111	treisiont
112bwrw112	bwriasit
113sgwrsio113	sgwrsiasit
114arfer114	arferasai
115ymlacio115	ymlacio
116parhau116	parhasom
117ciledrych117	ciledrychais
118cyfrwyo118	cyfrwyasom
119arwain119	arweiniwn
120gwlychu120	gwlyched
121anfon121	anfonwyf
122treisio122	treisient
123stopio123	stopit
124canlyn124	canlynwyf
125gadael125	gadawedig
126tacluso126	taclusent
127anafu127	anafwn i
128arfer128	arferi di
129pasio129	pasiai fo
130darllen130	darllenith o
131rhwystro131	rhwystrasant
132anafu132	anafech chi
133disgwyl133	disgwylia i
134gwlychu134	gwlychasem
135difetha135	difethwyf
136croeshoelio136	croeshoelia i
137darlunio137	darluniaswn
138uno138	unasoch
139ffurfio139	ffurfiasoch
140rhegi140	rhegwyd
141agor141	agorodd o
142swyno142	swynech
143disgwyl143	disgwyliech
144cyffwrdd144	cyffwrdd
145sefyll145	safaist
146ffili146	ffilych
147danfon147	danfonen ni
148amgyffred148	amgyffredasom
149ymarfer149	ymarferwyf
150cynnau150	cyneuid
151prynu151	prynais
152penderfynu152	penderfynwyd
153clymu153	clyment
154coelio154	coelien nhw
155penderfynu155	penderfynent
156llyfu156	llyfwn
157peidio157	peidian nhw
158dweud158	dywedi
159gorchuddio159	gorchuddiem
160gallu160	gallais i
161cuddio161	cuddwn ni
162dysgu162	dysgwn ni
163edliw163	edliwiaist
164cadw164	cadwasid
165poeni165	poenwch
166rhwygo166	rhwyger
167ysmygu167	ysmygodd
168gwrthod168	gwrthodwn ni
169llyfu169	llyfodd
170cyfnewid170	cyfnewidi
171darllen171	darllenon ni
172siafio172	siafiodd
173sefyll173	safid
174anfon174	anfonwn ni
175gwenu175	gwenech chi
176parhau176	parhasech
177talu177	tali di
178llanw178	llanwech
179palu179	palwn ni
180caru180	carasoch
181cysgu181	cysgent
182arfer182	arferedig
183cuddio183	cuddom
184codi184	coder
185ysmygu185	ysmygid
186cyffwrdd186	cyffyrdda
187teimlo187	teimlai
188darparu188	darparit
189gorchuddio189	gorchuddiont
190deall190	deallir
191cynnau191	cyneuaf
192mynd192	ewch
193ymolchi193	ymolch
194bwrw194	bwriaist
195coginio195	coginiasem
196yfed196	yfwn
197rhoi197	rho
198teimlo198	teimlasant
199smygu199	smyga i
200braenu200	braenasit
201croesholi201	croesholasech
202taro202	trawaf
203galluogi203	galluoget ti
204llenydda204	llenyddedig
205braenu205	braenith o
206teithio206	teithient
207rhegi207	rhegaswn
208ennill208	enillaf
209gofyn209	gofynni
210gweld210	gwelsem
211lleoli211	lleolwn ni
212rhuthro212	rhuthroch chi
213hoelio213	hoeliwch chi
214pwyso214	pwysasom
215amau215	amheuaist
